Extraction Time: 0.011, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 2.255, Regions: 9, Vertices: 1035
Extraction Time: 0.011, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.019, Area: 2.261, Regions: 9, Vertices: 1035
Extraction Time: 0.010, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.017, Area: 2.274, Regions: 9, Vertices: 1058
Extraction Time: 0.013, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 2.281, Regions: 9, Vertices: 1053
Extraction Time: 0.013, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 2.293, Regions: 9, Vertices: 1061
Extraction Time: 0.015, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 2.308, Regions: 9, Vertices: 1058
Extraction Time: 0.011, Merging Time: 0.002, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.015, Area: 2.314, Regions: 9, Vertices: 1070
Extraction Time: 0.014, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.018, Area: 2.321, Regions: 9, Vertices: 1078
Extraction Time: 0.012, Merging Time: 0.003, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.016, Area: 2.327, Regions: 9, Vertices: 1084
Extraction Time: 0.015, Merging Time: 0.002, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.019, Area: 2.334, Regions: 9, Vertices: 1081
Extraction Time: 0.012, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.020, Area: 2.379, Regions: 10, Vertices: 1116
Extraction Time: 0.016, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.003, Total Time: 0.024, Area: 2.385, Regions: 10, Vertices: 1139
Extraction Time: 0.014, Merging Time: 0.004, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.020, Area: 2.396, Regions: 10, Vertices: 1145
Extraction Time: 0.018, Merging Time: 0.005, Registration Time: 0.000, Optimization Time: 0.001, Total Time: 0.025, Area: 2.411, Regions: 10, Vertices: 1151
